2016-08-20 09:25:42,890 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Exam1Test:Exam1:1.0-SNAPSHOT @ C:\Users\chenbei\NetSocketExam\Exam1\pom.xml.
2016-08-20 09:25:44,256 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Exam1/src/main/java
2016-08-20 09:25:44,257 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Exam1/src/test/java
2016-08-20 09:25:44,533 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2016-08-20 09:25:45,257 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:25:45,260 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\main\resources
2016-08-20 09:25:45,263 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:25:45,266 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\test\resources
2016-08-20 09:25:54,509 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:25:54,516 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\main\resources
2016-08-20 09:25:54,518 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:25:54,520 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\test\resources
2016-08-20 09:27:42,525 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:27:42,526 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\main\resources
2016-08-20 09:27:42,528 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-20 09:27:42,530 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\chenbei\NetSocketExam\Exam1\src\test\resources
